State,8-bit Binary Word,Desired Phase (deg),Measured Phase at 2.4 GHz (deg),Optimum 9-bit Word (decimal),Optimum 9-bit Word (binary),Optimized Phase at 2.4 GHz (deg)
167,10100111,234.84375,238.88,164,010100100,234.94
168,10101000,236.25,242.15,421,110100101,236.54
169,10101001,237.65625,243.18,166,010100110,237.95
170,10101010,239.0625,245.18,167,010100111,238.88
171,10101011,240.46875,246.22,423,110100111,239.65
172,10101100,241.875,248.83,168,010101000,242.15
173,10101101,243.28125,249.86,169,010101001,243.18
174,10101110,244.6875,252.07,170,010101010,245.18
175,10101111,246.09375,253.11,426,110101010,246.01
176,10110000,247.5,252.09,427,110101011,247.09
177,10110001,248.90625,253,172,010101100,248.83
178,10110010,250.3125,254.8,429,110101101,250.65
179,10110011,251.71875,255.72,174,010101110,252.07
180,10110100,253.125,257.69,175,010101111,253.11
181,10110101,254.53125,258.52,178,010110010,254.8
182,10110110,255.9375,260.62,179,010110011,255.72
183,10110111,257.34375,261.55,180,010110100,257.69
184,10111000,258.75,264.53,181,010110101,258.52
185,10111001,260.15625,265.52,182,010110110,260.62
186,10111010,261.5625,267.42,183,010110111,261.55
187,10111011,262.96875,268.47,439,110110111,262.28
188,10111100,264.375,271.09,184,010111000,264.53
189,10111101,265.78125,272.08,185,010111001,265.52
190,10111110,267.1875,274.19,186,010111010,267.42
191,10111111,268.59375,275.26,187,010111011,268.47
192,11000000,270,274.09,443,110111011,269.34
193,11000001,271.40625,274.95,188,010111100,271.09
194,11000010,272.8125,276.78,445,110111101,272.92
195,11000011,274.21875,277.69,190,010111110,274.19
196,11000100,275.625,280.43,449,111000001,275.72
197,11000101,277.03125,281.24,194,011000010,276.78
198,11000110,278.4375,283.43,451,111000011,278.48
199,11000111,279.84375,284.34,196,011000100,280.43
200,11001000,281.25,287.79,197,011000101,281.24
201,11001001,282.65625,288.75,453,111000101,282.03
202,11001010,284.0625,290.93,199,011000111,284.34
203,11001011,285.46875,291.9,455,111000111,285.12
204,11001100,286.875,295.56,200,011001000,287.79
205,11001101,288.28125,296.54,456,111001000,288.74
206,11001110,289.6875,298.98,457,111001001,289.67
207,11001111,291.09375,299.98,202,011001010,290.93
208,11010000,292.5,297.2,459,111001011,292.89
209,11010001,293.90625,298.1,459,111001011,292.89
210,11010010,295.3125,299.83,204,011001100,295.56
211,11010011,296.71875,300.69,205,011001101,296.54
212,11010100,298.125,303.47,209,011010001,298.1
213,11010101,299.53125,304.34,210,011010010,299.83
214,11010110,300.9375,306.41,463,111001111,301
215,11010111,302.34375,307.28,467,111010011,301.51
216,11011000,303.75,310.49,212,011010100,303.47
217,11011001,305.15625,311.44,469,111010101,305.1
218,11011010,306.5625,313.5,214,011010110,306.41
219,11011011,307.96875,314.49,471,111010111,308.13
220,11011100,309.375,318.06,216,011011000,310.49
221,11011101,310.78125,319.06,216,011011000,310.49
222,11011110,312.1875,321.37,473,111011001,312.37
223,11011111,313.59375,322.38,218,011011010,313.5
224,11100000,315,320.13,475,111011011,315.43
225,11100001,316.40625,320.96,475,111011011,315.43
226,11100010,317.8125,322.71,220,011011100,318.06
227,11100011,319.21875,323.56,221,011011101,319.06
228,11100100,320.625,326.76,480,111100000,320.91
229,11100101,322.03125,327.52,478,111011110,322.35
230,11100110,323.4375,329.71,482,111100010,323.49
231,11100111,324.84375,330.53,483,111100011,324.36
232,11101000,326.25,333.88,228,011100100,326.76
233,11101001,327.65625,334.82,484,111100100,327.58
